MANDT	BUKRS	BELNR	BLDAT	BUDAT	LIFNR	MATNR	MENGE	MEINS	DMBTR	WAERS	WERKS	KOSTL	BKTXT
100	1000	10000001	20260401	20260401	VEND01	MAT0001	250.00	L	550.00	EUR	DE01	COST01	Diesel fuel for backup gen
100	1000	10000002	20260405	20260405	VEND01	MAT0001	400.00	L	880.00	EUR	DE01	COST01	Diesel for transport fleet
100	1000	10000003	20260410	20260410	VEND02	MAT0002	120.00	GAL	320.00	USD	US01	COST02	Petrol fuel for corporate cars
100	1000	10000004	20260412	20260412	VEND01	MAT0001	1.50	M3	1400.00	EUR	DE01	COST01	Diesel for main boiler
100	1000	10000005	20260415	20260415	VEND03	MAT0002	90.00	L	210.00	EUR	IN01	COST03	Petrol fuel for logistics team
100	1000	10000006	20260418	20260418	VEND01	MAT0001	350.00	L	770.00	EUR	DE01	COST01	Diesel fuel for backup gen
100	1000	10000007	20260420	20260420	VEND02	MAT0002	85.00	GAL	225.00	USD	US01	COST02	Petrol for sales run
100	1000	10000008	20260422	20260422	VEND01	MAT0001	2.20	M3	1980.00	EUR	DE01	COST01	Boiler Diesel Refill
100	1000	10000009	20260425	20260425	VEND03	MAT0001	500.00	L	1250.00	INR	IN01	COST03	Generator diesel fuel
100	1000	10000010	20260428	20260428	VEND02	MAT0002	150.00	GAL	390.00	USD	US01	COST02	Petrol for operations
100	1000	10000011	20260501	20260501	VEND01	MAT0001	300.00	L	660.00	EUR	DE01	COST01	Diesel fuel for backup gen
100	1000	10000012	20260505	20260505	VEND01	MAT0001	450.00	L	990.00	EUR	DE01	COST01	Diesel for transport fleet
100	1000	10000013	20260510	20260510	VEND02	MAT0002	100.00	GAL	270.00	USD	US01	COST02	Petrol for sales run
100	1000	10000014	20260512	20260512	VEND01	MAT0001	1.80	M3	1620.00	EUR	DE01	COST01	Boiler Diesel Refill
100	1000	10000015	20260515	20260515	VEND03	MAT0002	80.00	L	190.00	EUR	IN01	COST03	Petrol fuel for logistics team
100	1000	10000016	20260518	20260518	VEND01	MAT0001	320.00	L	704.00	EUR	DE01	COST01	Diesel fuel for backup gen
100	1000	10000017	20260520	20260520	VEND02	MAT0002	95.00	GAL	250.00	USD	US01	COST02	Petrol for operations
100	1000	10000018	20260522	20260522	VEND01	MAT0001	2.50	M3	2250.00	EUR	DE01	COST01	Boiler Diesel Refill
100	1000	10000019	20260525	20260525	VEND03	MAT0001	600.00	L	1500.00	INR	IN01	COST03	Generator diesel fuel
100	1000	10000020	20260526	20260526	VEND02	MAT0002	110.00	GAL	295.00	USD	US01	COST02	Petrol for sales run
